exposure,label,axis,method,ate,ate_lb,ate_ub,significant,n
wspeed_above_median,步行速度,Cohort_A,DMLOrthoForest,-0.07904058766774728,-0.41093614198379647,0.2535660095860845,0,8828
wspeed_above_median,步行速度,Cohort_A,ForestDRLearner,-0.0016578747958110565,-0.08291283028123198,0.07959708068960984,0,8828
wspeed_above_median,步行速度,Cohort_A,SLearner,-1.0573394459112711e-06,-0.001502018363480337,0.0007203199518754401,0,8828
wspeed_above_median,步行速度,Cohort_A,TLearner,-0.06047851756357829,-0.10586152035048223,-0.008367131137182049,1,8828
wspeed_above_median,步行速度,Cohort_B,CausalForestDML,0.04547416826237027,-0.491773734903991,0.5827220714287313,0,3123
wspeed_above_median,步行速度,Cohort_B,LinearDML,-0.0773992719553508,-0.5060495764563084,0.35125103254560675,0,3123
wspeed_above_median,步行速度,Cohort_B,DMLOrthoForest,-0.3724670186213769,-1.2257745441918928,0.4787193442596949,0,3123
wspeed_above_median,步行速度,Cohort_B,ForestDRLearner,0.03439139789159607,-0.10307038223603515,0.17185317801922725,0,3123
wspeed_above_median,步行速度,Cohort_B,SLearner,-6.341183005670822e-05,-0.0012599741803640348,0.0029331641821128533,0,3123
wspeed_above_median,步行速度,Cohort_B,TLearner,-0.07886584483643352,-0.20112518340409694,0.04432241204205742,0,3123
wspeed_above_median,步行速度,Cohort_C,CausalForestDML,0.02015000828199883,-0.41434043414625765,0.45464045071025516,0,2435
wspeed_above_median,步行速度,Cohort_C,LinearDML,0.010393483218254947,-0.4336060631327192,0.454393029569229,0,2435
wspeed_above_median,步行速度,Cohort_C,DMLOrthoForest,-0.2533785580270484,-0.984596782458904,0.4787710394651672,0,2435
wspeed_above_median,步行速度,Cohort_C,ForestDRLearner,0.005277483134078369,-0.09696889075408979,0.10752385702224652,0,2435
wspeed_above_median,步行速度,Cohort_C,SLearner,0.00025215649620275414,-0.0022818107138012043,0.0038780698130641703,0,2435
